"newspaper","date","total_news","epu_news","epu_cat2_news","epu_cat3_news","epu_cat4_news","epu_cat5_news","epu_cat6_news","epu_cat7_news","epu_cat8_news","epu_cat9_news","epu_cat10_news","epu_cat11_news","epu_cat12_news","epu_cat13_news","epu_cat14_news"
"el_pais","11-2011",1201,34,5,3,1,6,0,1,1,3,34,28,12,31,4
"el_pais","12-2011",1202,34,4,0,0,6,2,5,0,8,34,28,8,33,5
"el_pais","01-2012",1170,34,13,0,0,15,0,3,1,0,34,32,11,31,8
"el_pais","02-2012",1075,18,6,0,0,4,1,6,0,3,18,6,9,12,0
"el_pais","03-2012",1161,19,7,0,0,0,1,2,0,1,19,8,11,10,0
"el_pais","04-2012",824,30,10,0,0,13,2,2,0,0,30,22,12,27,13
"el_pais","05-2012",618,22,6,0,0,2,0,5,0,0,22,14,13,17,1
"el_pais","06-2012",851,23,8,0,2,8,0,3,0,4,23,19,9,16,3
"el_pais","07-2012",638,31,12,2,1,15,0,7,3,6,31,20,14,28,12
"el_pais","08-2012",773,16,2,0,0,10,0,2,2,6,16,11,14,14,3
"el_pais","09-2012",831,9,2,0,0,5,0,2,0,0,9,9,4,9,5
"el_pais","10-2012",954,14,9,0,0,2,0,0,0,0,14,4,8,11,2
"el_pais","11-2012",1115,30,8,2,0,9,1,3,0,9,30,21,15,28,5
"el_pais","12-2012",1137,34,14,0,8,17,4,2,2,2,34,23,25,33,8
"el_pais","01-2013",987,35,7,1,4,15,0,3,4,0,35,27,21,31,8
"el_pais","02-2013",1056,36,12,0,4,4,1,11,0,0,36,21,17,29,4
"el_pais","03-2013",1133,26,6,0,0,5,0,7,0,1,26,22,5,26,7
"el_pais","04-2013",1258,15,0,0,2,7,0,3,1,1,15,7,6,9,1
"el_pais","05-2013",1252,14,3,0,0,6,0,0,0,0,14,6,9,7,2
"el_pais","06-2013",1156,18,3,0,0,7,1,1,0,0,18,10,6,15,6
